BoardName,SchoolName,Grade,Language,FundingType,pctFullyParticipating_Read,pctFullyParticipating_Write,pctFullyParticipating_Math,pctOverallR_L34,pctOverallW_L34,pctOverallM_L34,pctExempted_Read,pctExempted_Write,pctExempted_Math
Ottawa-Carleton DSB,Viscount Alexander PS,3,en,1,86%,86%,91%,42%,37%,45%,9%,9%,5%
Hamilton-Wentworth DSB,Viscount Montgomery PS,3,en,1,87%,87%,87%,89%,63%,74%,3%,3%,3%
Peel District School Board,Vista Heights PS,3,en,1,100%,100%,100%,83%,80%,82%,0%,0%,0%
Toronto DSB,Vradenburg Jr PS,3,en,1,88%,88%,88%,73%,70%,60%,12%,12%,12%
Hamilton-Wentworth DSB,Tiffany Hills,3,en,1,98%,98%,98%,76%,65%,52%,2%,2%,2%
Simcoe County DSB,WC Little Elementary S,3,en,1,94%,94%,92%,70%,54%,69%,2%,2%,2%
York Region DSB,W J Watson PS,3,en,1,91%,93%,93%,52%,56%,37%,7%,7%,7%
Ottawa-Carleton DSB,W Erskine Johnston PS,3,en,1,99%,99%,100%,90%,91%,86%,1%,1%,0%
Thames Valley District School Board,W Sherwood Fox PS,3,en,1,80%,80%,85%,64%,64%,51%,20%,20%,15%
Ottawa-Carleton DSB,W E Gowling,3,en,1,100%,100%,100%,59%,51%,38%,0%,0%,0%
Hamilton-Wentworth DSB,W H Ballard PS,3,en,1,100%,100%,100%,43%,18%,36%,0%,0%,0%
Peel District School Board,James Bolton PS,3,en,1,95%,95%,95%,72%,38%,68%,2%,2%,2%
Ottawa-Carleton DSB,Kanata Highlands Public School,3,en,1,100%,100%,100%,82%,77%,89%,0%,0%,0%
Halton DSB,W H Morden PS,3,en,1,100%,100%,100%,62%,62%,57%,0%,0%,0%
Lambton Kent District School Board,W.J. Baird,3,en,1,88%,88%,88%,64%,64%,43%,6%,6%,6%
Simcoe County DSB,W R Best Memorial PS,3,en,1,100%,100%,100%,72%,68%,64%,0%,0%,0%
Durham DSB,Michaelle Jean P.S.,3,en,1,N/D,N/D,100%,N/D,N/D,78%,N/D,N/D,0%
Halton DSB,Bruce T Lindley PS,3,en,1,95%,95%,95%,83%,60%,55%,5%,5%,5%
Grand Erie DSB,Walpole North E S,3,en,1,100%,100%,100%,64%,57%,36%,0%,0%,0%
Thames Valley District School Board,Byron Somerset PS,3,en,1,97%,98%,98%,93%,86%,88%,2%,2%,2%
Simcoe County DSB,W H Day E S,3,en,1,86%,82%,92%,42%,52%,41%,11%,11%,6%
Grand Erie DSB,Walsh PS,3,en,1,95%,98%,95%,80%,57%,54%,2%,2%,2%
Halton DSB,Bruce Trail Public School,3,en,1,96%,96%,96%,67%,59%,67%,4%,4%,4%
Toronto DSB,Walter Perry Jr PS,3,en,1,85%,85%,95%,85%,58%,54%,13%,13%,3%
