BoardName,SchoolName,Grade,Language,FundingType,pctFullyParticipating_Read,pctFullyParticipating_Write,pctFullyParticipating_Math,pctOverallR_L34,pctOverallW_L34,pctOverallM_L34,pctExempted_Read,pctExempted_Write,pctExempted_Math
Toronto DSB,Leslieville Jr PS,3,en,1,93%,93%,93%,64%,61%,68%,7%,7%,7%
Rainbow District School Board,Levack PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Peel District School Board,Levi Creek PS,3,en,1,96%,96%,96%,92%,72%,85%,4%,4%,4%
Toronto DSB,Lillian PS,3,en,1,82%,82%,88%,71%,54%,60%,15%,15%,9%
Halton DSB,Limehouse PS,3,en,1,92%,92%,92%,83%,92%,75%,8%,8%,8%
Durham DSB,Lincoln Avenue PS,3,en,1,97%,97%,97%,69%,58%,53%,3%,3%,3%
Durham DSB,Lincoln Alexander PS,3,en,1,92%,92%,92%,71%,60%,71%,8%,8%,8%
Simcoe County DSB,Admiral Collingwood ES,3,en,1,100%,100%,100%,84%,71%,80%,0%,0%,0%
DSB of Niagara,Lincoln Centennial PS,3,en,1,87%,87%,87%,94%,85%,91%,13%,13%,13%
Hamilton-Wentworth DSB,Lincoln Alexander PS,3,en,1,97%,97%,97%,84%,71%,81%,3%,3%,3%
Waterloo Region DSB,Lincoln Heights PS,3,en,1,85%,85%,85%,71%,64%,50%,15%,15%,15%
York Region DSB,Lincoln Alexander PS,3,en,1,98%,98%,98%,95%,88%,90%,0%,0%,0%
Upper Canada DSB,Linklater PS,3,en,1,100%,100%,100%,86%,86%,59%,0%,0%,0%
Le C.S. public du Nord-Est de l'Ontario,École publique Lionel-Gauthier,3,fr,1,100%,100%,100%,55%,39%,58%,0%,0%,0%
Waterloo Region DSB,Linwood PS,3,en,1,100%,100%,100%,26%,21%,19%,0%,0%,0%
Hamilton-Wentworth DSB,Lisgar,3,en,1,82%,82%,82%,39%,25%,21%,18%,18%,18%
Simcoe County DSB,Assikinack PS,3,en,1,97%,97%,97%,71%,49%,54%,3%,3%,3%
Rainbow District School Board,Little Current PS,3,en,1,91%,91%,91%,70%,65%,65%,9%,9%,9%
Rainbow District School Board,Walden PS,3,en,1,100%,100%,100%,98%,91%,87%,0%,0%,0%
Peel District School Board,Pte Buckam Singh Public School,3,en,1,88%,88%,88%,75%,67%,75%,10%,10%,10%
Near North DSB,Woodland Public School,3,en,1,88%,88%,88%,52%,32%,36%,9%,9%,9%
Grand Erie DSB,Banbury Heights PS,3,en,1,100%,100%,100%,48%,45%,59%,0%,0%,0%
Thames Valley District School Board,Lockes PS,3,en,1,88%,88%,88%,76%,73%,63%,12%,12%,12%
DSB of Niagara,Lockview PS,3,en,1,95%,95%,95%,82%,70%,68%,2%,2%,2%
York Region DSB,Teston Village PS,3,en,1,87%,87%,87%,59%,41%,33%,13%,13%,13%
Peel District School Board,SouthFields Village PS,3,en,1,97%,97%,97%,61%,55%,46%,0%,0%,0%
Toronto DSB,Banting & Best PS,3,en,1,77%,77%,84%,88%,71%,92%,23%,23%,16%
Upper Canada DSB,Lombardy PS,3,en,1,100%,100%,100%,88%,81%,81%,0%,0%,0%
Lambton Kent District School Board,London Road,3,en,1,100%,100%,100%,50%,50%,31%,0%,0%,0%
Ottawa-Carleton DSB,Roberta Bondar PS,3,en,1,97%,97%,97%,52%,52%,38%,0%,0%,0%
Thames Valley District School Board,Centennial Central S,3,en,1,97%,97%,97%,85%,71%,62%,3%,3%,3%
Upper Canada DSB,Longue Sault PS,3,en,1,100%,100%,100%,58%,50%,47%,0%,0%,0%
Ottawa-Carleton DSB,Adrienne Clarkson PS,3,en,1,98%,98%,98%,78%,71%,69%,2%,2%,2%
Superior-Greenstone DSB,Marjorie Mills PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Toronto DSB,Lord Dufferin Jr & Sr PS,3,en,1,89%,89%,89%,50%,44%,47%,8%,8%,8%
Durham DSB,Ontario Street PS,3,en,1,95%,95%,95%,70%,55%,55%,0%,0%,0%
Thames Valley District School Board,Lord Elgin PS,3,en,1,97%,97%,97%,32%,21%,32%,0%,0%,0%
Thames Valley District School Board,Lord Nelson PS,3,en,1,91%,91%,89%,37%,17%,38%,7%,7%,7%
Thames Valley District School Board,Woodfield French Immersion Public School,3,en,1,100%,100%,100%,88%,79%,88%,0%,0%,0%
Limestone DSB,Lord Strathcona PS,3,en,1,78%,78%,78%,64%,64%,50%,22%,22%,22%
Toronto DSB,Lord Roberts Jr PS,3,en,1,94%,94%,94%,64%,57%,57%,4%,4%,4%
Peel District School Board,Lorne Park PS,3,en,1,95%,95%,95%,74%,67%,67%,0%,0%,0%
Conseil scolaire Viamonde,École élémentaire La Source,3,fr,1,90%,90%,90%,89%,85%,93%,10%,10%,10%
Ottawa-Carleton DSB,Barrhaven PS,3,en,1,82%,80%,82%,88%,66%,58%,18%,18%,18%
Peel District School Board,Barondale PS,3,en,1,97%,97%,97%,79%,71%,67%,3%,3%,3%
Simcoe County DSB,Birchview Dunes E S,3,en,1,97%,98%,97%,59%,53%,56%,2%,0%,0%
Limestone DSB,Loughborough PS,3,en,1,98%,98%,98%,74%,76%,76%,2%,2%,2%
York Region DSB,Louis-Honore Frechette PS,3,en,1,N/D,N/D,98%,N/D,N/D,84%,N/D,N/D,2%
Bluewater DSB,Lucknow Central PS,3,en,1,100%,100%,100%,71%,57%,76%,0%,0%,0%
Toronto DSB,Lucy Maud Montgomery PS,3,en,1,85%,85%,85%,59%,59%,59%,15%,15%,15%
Kawartha Pine Ridge DSB,Lydia Trull PS,3,en,1,94%,94%,94%,71%,56%,59%,6%,6%,6%
Upper Canada DSB,Lyn-Tincap PS,3,en,1,100%,100%,100%,96%,96%,100%,0%,0%,0%
Durham DSB,West Lynde PS,3,en,1,93%,93%,93%,68%,56%,54%,2%,2%,2%
Grand Erie DSB,Lynndale Heights,3,en,1,94%,94%,94%,80%,70%,65%,6%,6%,6%
Toronto DSB,Lynngate Jr PS,3,en,1,95%,95%,95%,60%,45%,45%,0%,0%,0%
Toronto DSB,Lynnwood Heights Jr PS,3,en,1,71%,71%,71%,75%,67%,83%,24%,24%,24%
York Region DSB,Mazo De La Roche PS,3,en,1,N/D,N/D,99%,N/D,N/D,70%,N/D,N/D,0%
DSB of Niagara,Forestview Public School,3,en,1,92%,92%,93%,83%,77%,78%,8%,8%,7%
Renfrew County DSB,Madawaska Valley District School - Elementary,3,en,1,91%,91%,91%,30%,40%,20%,9%,9%,9%
Greater Essex County DSB,M S Hetherington PS,3,en,1,88%,88%,88%,54%,34%,57%,12%,12%,12%
Trillium Lakelands DSB,Macaulay PS,3,en,1,95%,95%,95%,90%,78%,83%,5%,5%,5%
Conseil des écoles publiques de l'Est de l'Ontario,École élémentaire publique Michaëlle-Jean,3,fr,1,99%,99%,99%,87%,73%,80%,1%,1%,1%
Rainbow District School Board,MacLeod PS,3,en,1,98%,98%,98%,89%,84%,78%,2%,2%,2%
Near North DSB,MacTier PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Peel District School Board,Macville PS,3,en,1,94%,94%,94%,87%,87%,80%,6%,6%,6%
Peel District School Board,Madoc Drive PS,3,en,1,100%,100%,100%,57%,43%,55%,0%,0%,0%
Near North DSB,Magnetawan Central PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Near North DSB,Maple View Public School,3,en,1,100%,100%,100%,70%,45%,64%,0%,0%,0%
Durham DSB,Maple Ridge,3,en,1,93%,93%,98%,54%,50%,71%,7%,7%,2%
Conseil scolaire Viamonde,École élémentaire Mathieu-Da-Costa,3,fr,1,100%,100%,100%,100%,100%,96%,0%,0%,0%
Grand Erie DSB,Major Ballachey PS,3,en,1,89%,91%,91%,35%,28%,31%,9%,9%,9%
Toronto DSB,Emily Carr PS,3,en,1,100%,100%,100%,77%,69%,69%,0%,0%,0%
Toronto DSB,Alexander Stirling PS,3,en,1,95%,95%,97%,53%,53%,37%,5%,5%,3%
Peel District School Board,Massey PS,3,en,1,100%,100%,100%,88%,61%,63%,0%,0%,0%
Trillium Lakelands DSB,Mariposa E S,3,en,1,100%,100%,97%,95%,85%,87%,0%,0%,0%
Thames Valley District School Board,Summers' Corners PS,3,en,1,89%,89%,89%,64%,61%,48%,11%,11%,11%
Ottawa-Carleton DSB,Summerside Public School,3,en,1,91%,89%,91%,85%,70%,83%,9%,9%,9%
Peel District School Board,Rowntree Public School,3,en,1,96%,96%,96%,81%,71%,67%,4%,4%,4%
Greater Essex County DSB,Malden Central PS,3,en,1,96%,96%,92%,70%,65%,59%,4%,4%,8%
Bluewater DSB,East Ridge Community School,3,en,1,99%,99%,99%,71%,60%,62%,0%,0%,0%
Upper Canada DSB,Front of Yonge E S,3,en,1,100%,91%,100%,91%,90%,82%,0%,0%,0%
Toronto DSB,Malvern Jr PS,3,en,1,69%,69%,67%,61%,47%,49%,4%,4%,6%
Waterloo Region DSB,Manchester PS,3,en,1,94%,94%,94%,61%,42%,61%,6%,6%,6%
Toronto DSB,Manhattan Park Jr PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Conseil scolaire du Grand Nord,É publique Franco-Manitou,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
Limestone DSB,Bath PS,3,en,1,89%,89%,84%,64%,48%,61%,8%,8%,14%
Ottawa-Carleton DSB,Manor Park PS,3,en,1,97%,99%,99%,60%,49%,47%,0%,0%,0%
Ottawa-Carleton DSB,Manordale PS,3,en,1,97%,97%,97%,47%,50%,50%,3%,3%,3%
Ottawa-Carleton DSB,Manotick PS,3,en,1,100%,100%,100%,84%,71%,81%,0%,0%,0%
Peel District School Board,Morton Way PS,3,en,1,94%,94%,94%,73%,60%,60%,1%,1%,1%
Peel District School Board,Castle Oaks Public School,3,en,1,99%,99%,99%,79%,66%,66%,1%,1%,1%
Greater Essex County DSB,Essex Public School,3,en,1,90%,90%,92%,65%,50%,60%,10%,10%,8%
Halton DSB,Maple Grove PS,3,en,1,95%,95%,95%,76%,67%,67%,5%,5%,5%
Simcoe County DSB,Maple Grove PS,3,en,1,96%,96%,96%,74%,72%,65%,4%,4%,4%
Upper Canada DSB,Maple Grove E,3,en,1,86%,86%,86%,42%,42%,29%,7%,7%,7%
Toronto DSB,Maple Leaf PS,3,en,1,97%,97%,97%,45%,24%,24%,0%,0%,0%
York Region DSB,Bayview Hill E S,3,en,1,91%,91%,98%,88%,82%,93%,9%,9%,2%
Durham DSB,Robert Munsch PS,3,en,1,98%,98%,98%,68%,62%,51%,2%,2%,2%
Halton DSB,Maplehurst PS,3,en,1,97%,97%,97%,76%,57%,75%,3%,3%,3%
Simcoe County DSB,Mapleview Heights ES,3,en,1,92%,92%,92%,73%,49%,61%,8%,8%,8%
Peel District School Board,Maple Wood PS,3,en,1,100%,100%,100%,46%,15%,54%,0%,0%,0%
Toronto DSB,Mountview Alternative School,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Hamilton-Wentworth DSB,Greensville Elementary School,3,en,1,92%,92%,92%,68%,64%,55%,0%,0%,0%
Halton DSB,Alexander's Public School,3,en,1,100%,100%,100%,81%,79%,81%,0%,0%,0%
Simcoe County DSB,Uptergrove PS,3,en,1,96%,96%,96%,88%,64%,56%,4%,4%,4%
Simcoe County DSB,Marchmont PS,3,en,1,100%,100%,100%,56%,47%,53%,0%,0%,0%
Hamilton-Wentworth DSB,Remote Day School,3,en,1,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Superior-Greenstone DSB,Margaret Twomey PS,3,en,1,85%,85%,85%,73%,64%,64%,15%,15%,15%
Kawartha Pine Ridge DSB,Beatrice Strong PS,3,en,1,96%,98%,98%,70%,64%,60%,0%,0%,0%
Greater Essex County DSB,Margaret D Bennie PS,3,en,1,72%,72%,72%,74%,65%,61%,28%,28%,28%
Durham DSB,Bobby Orr PS,3,en,1,80%,85%,85%,34%,35%,38%,15%,15%,15%
Waterloo Region DSB,Janet Metcalfe Public School,3,en,1,100%,100%,100%,64%,48%,53%,0%,0%,0%
Durham DSB,Bolton C Falby PS,3,en,1,95%,95%,95%,60%,60%,49%,4%,4%,4%
Bluewater DSB,Beavercrest Community S,3,en,1,86%,86%,86%,81%,56%,66%,14%,14%,14%
York Region DSB,William Berczy PS,3,en,1,100%,97%,100%,74%,66%,87%,0%,0%,0%
York Region DSB,Unionville PS,3,en,1,100%,100%,100%,75%,68%,71%,0%,0%,0%
Toronto DSB,Market Lane PS,3,en,1,95%,95%,97%,83%,64%,59%,0%,0%,0%
Conseil scolaire Viamonde,École élémentaire Dyane-Adam,3,fr,1,94%,94%,94%,100%,94%,100%,6%,6%,6%
York Region DSB,Markham Gateway E PS,3,en,1,95%,95%,95%,74%,57%,71%,2%,2%,2%
Conseil scolaire du Grand Nord,É P Camille Perron,3,fr,1,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.,S. R.
Grand Erie DSB,Branlyn PS,3,en,1,100%,100%,100%,50%,45%,53%,0%,0%,0%
Rainy River DSB,Northern Lakes Elementary School,3,en,1,100%,100%,100%,59%,47%,47%,0%,0%,0%
York Region DSB,Brownridge PS,3,en,1,85%,85%,85%,71%,59%,65%,15%,15%,15%
Greater Essex County DSB,Marlborough PS,3,en,1,88%,88%,88%,32%,18%,25%,12%,12%,12%
Waterloo Region DSB,Brigadoon PS,3,en,1,98%,97%,98%,65%,58%,63%,0%,0%,0%
Greater Essex County DSB,James L Dunn Public School,3,en,1,100%,100%,100%,83%,63%,51%,0%,0%,0%
Waterloo Region DSB,Baden Public School,3,en,1,100%,100%,100%,95%,84%,89%,0%,0%,0%
Halton DSB,Alton Village Public School,3,en,1,98%,98%,99%,89%,88%,83%,2%,2%,1%
Limestone DSB,Molly Brant Elementary School,3,en,1,86%,90%,88%,45%,32%,28%,8%,8%,8%
Hastings and Prince Edward DSB,Marmora Public School,3,en,1,100%,100%,100%,62%,56%,56%,0%,0%,0%
Ottawa-Carleton DSB,Bridlewood Community E S,3,en,1,91%,91%,89%,74%,60%,69%,0%,0%,0%
DSB of Niagara,Martha Cullimore PS,3,en,1,97%,97%,97%,93%,90%,90%,0%,0%,0%
Toronto DSB,Africentric Alternative S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Halton DSB,Martin Street PS,3,en,1,90%,90%,90%,81%,72%,79%,8%,8%,8%
Peel District School Board,Marvin Heights PS,3,en,1,88%,88%,88%,86%,86%,81%,12%,12%,12%
Hamilton-Wentworth DSB,Mary Hopkins PS,3,en,1,97%,98%,98%,71%,60%,52%,0%,0%,0%
Ottawa-Carleton DSB,Mary Honeywell E S,3,en,1,92%,92%,92%,69%,49%,65%,8%,8%,8%
Waterloo Region DSB,Mary Johnston PS,3,en,1,100%,98%,100%,83%,79%,81%,0%,0%,0%
Toronto DSB,Maryvale PS,3,en,1,71%,71%,71%,75%,25%,33%,24%,18%,18%
Toronto DSB,Mason Road Jr PS,3,en,1,98%,100%,100%,45%,39%,32%,0%,0%,0%
Thames Valley District School Board,Masonville PS,3,en,1,97%,97%,97%,86%,81%,78%,3%,3%,3%
Simcoe County DSB,Baxter Central S,3,en,1,95%,100%,100%,69%,35%,43%,0%,0%,0%
Trillium Lakelands DSB,Honey Harbour Public School,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
DSB Ontario North East,Joseph H Kennedy PS,3,en,1,81%,81%,84%,77%,46%,62%,19%,19%,16%
Simcoe County DSB,Lake Simcoe Public School,3,en,1,99%,99%,99%,71%,72%,66%,0%,0%,0%
Durham DSB,Mary Street Community S,3,en,1,86%,93%,100%,33%,38%,29%,0%,0%,0%
Toronto DSB,Mary Shadd PS,3,en,1,97%,97%,97%,61%,39%,39%,0%,0%,0%
Near North DSB,Mattawa District PS,3,en,1,100%,100%,100%,46%,23%,38%,0%,0%,0%
Toronto DSB,Maurice Cody PS,3,en,1,100%,100%,100%,94%,89%,87%,0%,0%,0%
Upper Canada DSB,Maxville PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Limestone DSB,Bayridge PS,3,en,1,100%,97%,100%,68%,79%,65%,0%,3%,0%
Upper Canada DSB,Maynard PS,3,en,1,97%,97%,97%,75%,75%,75%,0%,0%,0%
Hastings and Prince Edward DSB,Maynooth PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Hastings and Prince Edward DSB,Hermon PS,3,en,1,100%,100%,100%,50%,38%,50%,0%,0%,0%
Peel District School Board,Countryside Village PS,3,en,1,95%,95%,95%,74%,75%,68%,4%,4%,4%
Peel District School Board,McBride Avenue PS,3,en,1,98%,98%,98%,48%,45%,45%,2%,2%,2%
Durham DSB,McCaskill's Mills,3,en,1,97%,97%,98%,66%,48%,53%,3%,3%,2%
Rainy River DSB,McCrosson-Tovell PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Near North DSB,McDougall PS,3,en,1,93%,93%,93%,57%,36%,50%,7%,7%,7%
Thames Valley District School Board,McGillivray Central S,3,en,1,100%,100%,100%,69%,50%,75%,0%,0%,0%
Thames Valley District School Board,McGregor PS,3,en,1,98%,98%,98%,54%,54%,59%,2%,2%,2%
Toronto DSB,Baycrest PS,3,en,1,100%,100%,100%,68%,57%,57%,0%,0%,0%
Peel District School Board,McHugh PS,3,en,1,86%,86%,80%,57%,57%,32%,9%,9%,9%
DSB of Niagara,McKay PS,3,en,1,98%,98%,100%,79%,69%,72%,2%,2%,0%
Toronto DSB,McKee PS,3,en,1,91%,91%,91%,91%,84%,84%,9%,9%,9%
Lakehead DSB,McKellar Park Central PS,3,en,1,91%,91%,91%,90%,70%,80%,0%,0%,0%
Lakehead DSB,McKenzie S,3,en,1,100%,100%,100%,92%,92%,75%,0%,0%,0%
Halton DSB,McKenzie-Smith Bennett S,3,en,1,95%,95%,95%,76%,73%,46%,0%,0%,0%
Toronto DSB,McMurrich Jr PS,3,en,1,98%,98%,98%,78%,68%,72%,2%,2%,2%
Renfrew County DSB,McNab PS,3,en,1,92%,92%,92%,82%,70%,67%,8%,8%,8%
Lambton Kent District School Board,McNaughton Avenue,3,en,1,99%,99%,99%,64%,56%,50%,1%,1%,1%
York Region DSB,Meadowbrook PS,3,en,1,90%,90%,90%,78%,65%,57%,5%,5%,5%
Durham DSB,Meadowcrest PS,3,en,1,N/D,N/D,100%,N/D,N/D,93%,N/D,N/D,0%
Toronto DSB,Brookside PS,3,en,1,97%,97%,97%,64%,58%,63%,3%,3%,3%
Ottawa-Carleton DSB,Meadowlands PS,3,en,1,95%,95%,97%,64%,48%,53%,2%,2%,0%
Upper Canada DSB,Meadowview PS,3,en,1,100%,100%,100%,45%,41%,32%,0%,0%,0%
Waterloo Region DSB,Meadowlane PS,3,en,1,94%,94%,94%,47%,27%,43%,0%,0%,0%
Toronto DSB,Meadowvale PS,3,en,1,100%,100%,100%,91%,80%,69%,0%,0%,0%
York Region DSB,Rouge Park Public School,3,en,1,94%,94%,94%,86%,81%,85%,6%,6%,6%
Peel District School Board,Meadowvale Village PS,3,en,1,89%,89%,89%,78%,78%,73%,5%,5%,5%
Ottawa-Carleton DSB,Heritage Public School,3,en,1,100%,100%,100%,75%,75%,58%,0%,0%,0%
Kawartha Pine Ridge DSB,John M James PS,3,en,1,98%,98%,98%,65%,60%,50%,2%,2%,2%
Simcoe County DSB,Warminster ES,3,en,1,90%,90%,97%,85%,63%,52%,10%,10%,3%
Trillium Lakelands DSB,Glen Orchard Public School,3,en,1,96%,96%,100%,57%,43%,38%,4%,4%,0%
Ottawa-Carleton DSB,Shingwàkons Public School,3,en,1,98%,98%,98%,75%,64%,63%,1%,1%,1%
Bluewater DSB,Elementary Remote School,3,en,1,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D
Thames Valley District School Board,Wilberforce Public School,3,en,1,100%,100%,100%,78%,50%,66%,0%,0%,0%
Toronto DSB,Melody Village Jr S,3,en,1,N/D,N/D,100%,N/D,N/D,65%,N/D,N/D,0%
Hamilton-Wentworth DSB,Memorial (City),3,en,1,86%,86%,90%,52%,36%,35%,10%,10%,10%
Toronto DSB,Fairbank Memorial Community S,3,en,1,83%,83%,87%,74%,68%,55%,13%,9%,9%
Hamilton-Wentworth DSB,South Meadow Elementary School,3,en,1,94%,94%,94%,72%,60%,57%,5%,5%,5%
DSB Ontario North East,W Earle Miller PS,3,en,1,100%,100%,100%,61%,46%,54%,0%,0%,0%
York Region DSB,Mackenzie Glen PS,3,en,1,93%,96%,96%,93%,91%,91%,4%,4%,4%
Lambton Kent District School Board,Merlin Area,3,en,1,100%,100%,100%,87%,87%,67%,0%,0%,0%
Upper Canada DSB,Merrickville PS,3,en,1,95%,100%,100%,89%,79%,68%,0%,0%,0%
Greater Essex County DSB,East Mersea PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Ottawa-Carleton DSB,Bayshore PS,3,en,1,91%,91%,91%,66%,48%,41%,9%,9%,9%
Upper Grand DSB,William C. Winegard Public School,3,en,1,93%,93%,93%,82%,69%,71%,7%,7%,7%
York Region DSB,Michael Cranny Elementary Public School,3,en,1,84%,84%,86%,93%,83%,88%,14%,14%,13%
Peel District School Board,Middlebury PS,3,en,1,91%,91%,91%,83%,63%,69%,0%,0%,0%
Bluewater DSB,Mildmay-Carrick PS,3,en,1,100%,100%,100%,80%,80%,70%,0%,0%,0%
York Region DSB,Baythorn PS,3,en,1,100%,100%,100%,73%,69%,69%,0%,0%,0%
York Region DSB,Bayview Fairways PS,3,en,1,100%,100%,100%,85%,82%,88%,0%,0%,0%
Kawartha Pine Ridge DSB,Millbrook/South Cavan PS,3,en,1,100%,100%,100%,77%,54%,65%,0%,0%,0%
Toronto DSB,Military Trail PS,3,en,1,98%,100%,98%,44%,33%,27%,0%,0%,0%
Toronto DSB,Macklin PS,3,en,1,96%,96%,96%,59%,55%,67%,4%,4%,4%
York Region DSB,Bayview Glen PS,3,en,1,100%,100%,100%,91%,85%,76%,0%,0%,0%
York Region DSB,Johnny Lombardi Public School,3,en,1,94%,94%,94%,91%,83%,79%,2%,2%,2%
Toronto DSB,Mill Valley Jr S,3,en,1,96%,96%,96%,93%,89%,89%,0%,0%,0%
Hamilton-Wentworth DSB,Millgrove PS,3,en,1,100%,100%,100%,78%,74%,70%,0%,0%,0%
York Region DSB,Milliken Mills PS,3,en,1,70%,70%,86%,68%,58%,73%,26%,26%,12%
Peel District School Board,Miller's Grove PS,3,en,1,100%,100%,100%,83%,56%,56%,0%,0%,0%
Toronto DSB,Millwood Jr S,3,en,1,100%,100%,100%,74%,56%,66%,0%,0%,0%
Toronto DSB,Milliken PS,3,en,1,95%,95%,100%,80%,73%,74%,5%,5%,0%
Avon Maitland DSB,Milverton PS,3,en,1,100%,100%,100%,76%,76%,80%,0%,0%,0%
Durham DSB,Bayview Heights PS,3,en,1,98%,98%,98%,66%,46%,46%,2%,2%,2%
Rainy River DSB,Mine Centre PS,3,en,1,91%,100%,91%,30%,18%,10%,0%,0%,0%
Peel District School Board,Mineola PS,3,en,1,98%,98%,98%,89%,74%,83%,0%,0%,0%
Simcoe County DSB,Minesing Central PS,3,en,1,97%,97%,97%,89%,65%,51%,3%,3%,3%
Upper Grand DSB,Minto-Clifford Central PS,3,en,1,100%,100%,100%,74%,66%,59%,0%,0%,0%
Ottawa-Carleton DSB,Bayview PS,3,en,1,100%,100%,100%,80%,63%,75%,0%,0%,0%
Upper Grand DSB,Mitchell Woods PS,3,en,1,85%,85%,85%,74%,55%,62%,15%,15%,15%
Upper Grand DSB,Montgomery Village S,3,en,1,95%,95%,95%,71%,71%,57%,5%,5%,5%
Halton DSB,Mohawk Gardens PS,3,en,1,92%,92%,89%,79%,59%,85%,8%,8%,11%
Trillium Lakelands DSB,Monck PS,3,en,1,100%,100%,100%,85%,69%,76%,0%,0%,0%
Halton DSB,Viola Desmond Public School,3,en,1,95%,95%,95%,78%,69%,55%,4%,4%,4%
Upper Grand DSB,Mono-Amaranth PS,3,en,1,100%,100%,100%,89%,44%,67%,0%,0%,0%
Simcoe County DSB,Bayview PS,3,en,1,100%,100%,100%,47%,50%,41%,0%,0%,0%
Toronto DSB,Montrose PS,3,en,1,100%,100%,100%,100%,100%,100%,0%,0%,0%
Upper Grand DSB,Maryborough PS,3,en,1,93%,100%,100%,78%,52%,66%,0%,0%,0%
Lambton Kent District School Board,Mooretown Courtright,3,en,1,100%,100%,100%,64%,36%,43%,0%,0%,0%
Moose Factory Island DSAB,Moose Factory Ministik PS,3,en,1,82%,84%,84%,26%,22%,0%,11%,11%,11%
Moosonee DSAB,Moosonee PS,3,en,1,100%,100%,100%,58%,38%,35%,0%,0%,0%
York Region DSB,Morning Glory PS,3,en,1,89%,89%,93%,64%,56%,58%,11%,11%,7%
Avon Maitland DSB,Mornington Central PS,3,en,1,79%,79%,79%,79%,63%,74%,21%,21%,21%
Peel District School Board,Mountain Ash Middle School,3,en,1,78%,78%,78%,81%,57%,57%,22%,22%,22%
Toronto DSB,Morrish PS,3,en,1,81%,81%,81%,86%,82%,73%,19%,19%,19%
Upper Canada DSB,Morrisburg PS,3,en,1,100%,100%,94%,59%,29%,69%,0%,0%,0%
Trillium Lakelands DSB,K P Manson PS,3,en,1,94%,94%,94%,76%,82%,53%,6%,6%,6%
Toronto DSB,Morse Street Jr PS,3,en,1,82%,79%,96%,74%,68%,70%,18%,21%,4%
Conseil scolaire Viamonde,École élémentaire Viavirtuel,3,fr,1,A/D,A/D,A/D,A/D,A/D,A/D,A/D,A/D,A/D
Thames Valley District School Board,Mosa Central S,3,en,1,100%,100%,100%,71%,50%,57%,0%,0%,0%
Hamilton-Wentworth DSB,Mount Albion PS,3,en,1,85%,85%,85%,71%,63%,56%,12%,12%,12%
Upper Canada DSB,Swift Waters Elementary School,3,en,1,92%,92%,92%,57%,48%,57%,8%,8%,8%
Greater Essex County DSB,Mount Carmel-Blytheswood Public School,3,en,1,81%,81%,88%,92%,85%,64%,19%,19%,12%
Halton DSB,Montclair PS,3,en,1,94%,94%,94%,38%,31%,41%,6%,6%,6%
Hamilton-Wentworth DSB,Mount Hope PS,3,en,1,92%,92%,92%,60%,40%,31%,6%,6%,6%
Renfrew County DSB,Beachburg PS,3,en,1,100%,100%,100%,74%,42%,68%,0%,0%,0%
Ottawa-Carleton DSB,Le Phare Elementary School,3,en,1,100%,100%,100%,82%,71%,61%,0%,0%,0%
Toronto DSB,Beaches Alternative S,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Conseil scolaire Viamonde,École élémentaire Viola-Léger,3,fr,1,91%,91%,91%,90%,90%,81%,9%,9%,9%
Superior-Greenstone DSB,Beardmore PS,3,en,1,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
Simcoe County DSB,Mountain View PS,3,en,1,100%,100%,100%,70%,55%,52%,0%,0%,0%
Thames Valley District School Board,Mountsfield PS,3,en,1,90%,90%,90%,61%,67%,67%,8%,8%,8%
Hamilton-Wentworth DSB,Mountview PS,3,en,1,93%,93%,93%,89%,93%,89%,7%,7%,7%
Grand Erie DSB,Mount Pleasant S,3,en,1,100%,100%,100%,73%,50%,70%,0%,0%,0%
Toronto DSB,Muirhead PS,3,en,1,97%,97%,100%,45%,31%,30%,0%,0%,0%
Waterloo Region DSB,Sir Adam Beck P.S.,3,en,1,98%,100%,98%,77%,75%,66%,0%,0%,0%
Peel District School Board,Munden Park PS,3,en,1,86%,96%,94%,50%,41%,44%,2%,2%,2%
